samples	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP	BAMQC_TOTALREADS	BAMQC_PAIREDREADS	BAMQC_PROPPAIREDREADS	BAMQC_UNMAPREADS	BAMQC_MATEUNMAPREADS	BAMQC_SECONDARYREADS	BAMQC_QUALFAILREADS	BAMQC_READSPERSTARTPOINT	BAMQC_AVGREADLENGTH	BAMQC_INSERTMEAN	BAMQC_INSERTSD	BAMQC_SOFTCLIPBASES	BAMQC_HARDCLIPBASES	BAMQC_MISMATCHBASES	callability	purity	ploidy	SLPP	centre	proj_name	sample_type	tissue_type	run	proj_id	miso_id
HILL_1632_TB	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	79.856036	79.856036	76.190433	100	95.4097	76190433	100	9947906464	9491334181	7310.067879	1591.227377	1046.611208	3410817098	89.4791	0.105209	0.821236	110.936526	91.478291	78	0.733069	34.2044	34.984826	0.4601	4.5896	0.018109	0.008894	0.215685	71.5646	2.407323	0.991825	0.988489	0.962377	0.917693	0.858408	0.786968	0.709938	37.1075	371.152849	6.778148	6.869306	6.956124	7.051624	7.140178	7.671504	1.93391	11.838142	0.984585	18	0	0	0	80742078	78063189	77531229	146472	134923	51160	2481257	1.09428236981333	124.874521395737	206.845944488664	75.8672229062979	18044026	0	19583564	95.1	0.14	1.6	0.422919603155433	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0101_Bn_P_PE_1_EX
HILL_1676_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	60.748491	60.748491	59.302717	100	97.6201	59302717	100	7552360496	7372694032	4855.887933	1071.538173	1624.93439	2329830900	78.4844	0.215156	0.819224	73.692249	62.486185	56	0.640976	30.7537	30.610889	0.4134	2.3789	0.021185	0.009184	0.228531	72.2294	2.231649	0.992681	0.98912	0.956127	0.883855	0.786749	0.679781	0.57051	16.3292	486.743985	7.117019	7.186176	7.248746	7.31461	7.377839	7.741405	3.901729	3.704042	0.983821	18	0	0	0	61506690	59197616	58715450	114111	100974	53986	2140977	1.07499140743984	124.712003233373	204.192879644998	77.7825820360764	15454439	0	16603587	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0102_Pb_R_PE_1_EX
HILL_1676_TB	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	127.789029	127.789029	121.756147	100	95.279	121756147	100	15887482225	15137673758	10228.24125	2239.815011	3419.425964	4816255701	78.4772	0.215228	0.820356	155.222301	129.172226	114	0.64204	30.2322	30.650381	0.3278	4.7195	0.020526	0.007513	0.223053	70.5178	2.266179	0.994569	0.992464	0.978959	0.957171	0.925921	0.885537	0.839159	57.6296	496.450166	7.185197	7.247699	7.306729	7.372703	7.437288	7.803967	3.90181	3.718118	0.990144	20	0	0	0	129225423	124596801	123812770	75208	58490	124929	4428485	1.10389958912383	124.666800771233	203.580965034512	76.3195766170412	31152121	0	32761729	96.3	0.27	5.6	0.320462690757456	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0102_Bn_P_PE_1_EX
HILL_1859_TB	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	120.716407	120.716407	115.286886	100	95.5023	115286886	100	14966509233	14293484378	9987.126752	1914.55853	3064.823951	4489590494	79.5221	0.204779	0.839136	151.563182	120.411049	107	0.66539	29.9118	31.769475	0.3767	4.4969	0.021593	0.007048	0.25726	67.2074	2.315597	0.993559	0.990994	0.974136	0.947334	0.910117	0.864536	0.813093	53.7793	500.353451	7.435824	7.5045	7.573176	7.641851	7.714451	8.106884	4.117358	3.18972	0.987933	19	0	0	0	122278838	117652285	116955960	82280	67080	122712	4421561	1.11739175341003	124.348866772966	187.358339452518	63.401563903291	28285257	0	30138108	96.9	9999	9999	9999	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0103_Bn_P_PE_1_EX
HILL_1902_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	149.389963	149.389963	134.693086	100	90.1621	134693086	100	18303839289	16522906275	13622.206513	2789.274051	1892.358725	5712857848	89.6614	0.103386	0.830041	206.728624	153.219142	130	0.730395	30.6312	35.431967	0.309	9.7298	0.016993	0.021329	0.212598	66.8596	2.43205	0.994261	0.991794	0.976838	0.955358	0.927911	0.894524	0.85613	62.9576	309.612783	7.147395	7.267668	7.38794	7.508213	7.638107	8.417474	2.128362	9.892271	0.989334	20	0	0	0	150741591	146137384	145148929	86517	73926	131509	4386181	1.12841494773706	124.843188865349	199.968842486024	73.0558273683312	324896572	0	80480400	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0104_Pb_R_PE_1_EX
HILL_1902_TB	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	60.259854	60.259854	57.954665	100	96.1746	57954665	100	7505725379	7218585678	5449.074792	1213.056504	843.594083	2578620384	88.7607	0.112393	0.817918	82.694366	69.158732	59	0.724156	34.2686	34.56369	0.3962	3.8256	0.018196	0.009287	0.211742	72.7138	2.384784	0.992267	0.988333	0.95237	0.884486	0.793136	0.691702	0.591845	22.5511	332.237356	6.770597	6.859031	6.960567	7.065378	7.167569	7.764992	2.177719	9.770054	0.983021	18	0	0	0	60959619	58908427	58528227	112535	102780	41767	1896890	1.08464354661417	124.875153261179	208.360819149658	77.0214172184245	14103089	0	15161146	93.4	0.16	2.4	0.203436027618461	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0104_Bn_P_PE_1_EX
HILL_2104_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	129.281307	129.281307	120.823693	100	93.458	120823693	100	16115972332	15062075691	11717.139187	2555.858349	1842.974796	5309781106	88.5643	0.114357	0.820931	177.817599	142.408603	126	0.725015	32.855	34.614262	0.2967	6.5395	0.017215	0.013092	0.209579	70.3286	2.260454	0.994217	0.991694	0.976485	0.955654	0.930057	0.898587	0.861034	62.3925	409.130308	6.479252	6.553171	6.616529	6.690448	6.76859	7.190982	2.257561	8.418178	0.989483	20	0	0	0	130671227	126478373	125667661	212372	194769	79823	3900659	1.11292224153791	125.016021727288	205.796316273757	72.8176291299598	36084048	0	39772733	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0084_Pb_R_PE_1_EX
HILL_2104_Tumor	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	76.514414	76.514414	73.925659	100	96.6166	73925659	100	9542515769	9219652583	6956.64132	1520.708226	1065.166223	3278262739	88.8377	0.111623	0.820615	105.572976	87.923176	78	0.726935	34.2563	34.707771	0.3378	3.3834	0.017927	0.01272	0.215045	72.8503	2.25444	0.99302	0.989356	0.964231	0.923151	0.866399	0.796177	0.718855	36.2122	485.917384	6.401549	6.451474	6.51388	6.563805	6.633699	6.963202	2.50082	7.611906	0.985521	18	0	0	0	77411544	74806944	74338048	196211	181282	50652	2357737	1.07313798143374	125.086609593355	205.783335118346	70.8401642641554	20536516	0	23471448	95.4	0.11	6.3	0.118093732778495	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0084_Bn_P_PE_1_EX
HILL_2131_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	115.946511	115.946511	107.087483	100	92.3594	107087483	100	14216434100	13141955234	10607.950508	2197.997586	1410.486006	4563375516	90.0785	0.099215	0.828361	160.984713	122.389967	103	0.732408	31.5071	35.524732	0.3912	7.558	0.017577	0.021575	0.213353	68.8858	2.497754	0.992911	0.990189	0.970274	0.938971	0.898687	0.849951	0.795612	51.4985	311.893207	7.306828	7.428285	7.5622	7.680543	7.826292	8.633516	1.703143	12.632784	0.986719	19	0	0	0	117169193	113386692	112838163	61362	51734	90907	3630232	1.10378027693015	124.88911500302	200.466613910138	70.0685798971135	257183927	0	62364302	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0105_Pb_R_PE_1_EX
HILL_2131_TB	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	68.653678	68.653678	65.257101	100	95.0526	65257101	100	8561288130	8137842723	6157.680299	1415.894635	987.713196	2888816104	88.463	0.11537	0.813048	93.44806	77.478197	65	0.717376	33.655	34.242702	0.3984	4.946	0.018289	0.009769	0.205443	72.2213	2.499297	0.992462	0.988802	0.956462	0.897044	0.817603	0.726341	0.634279	28.1872	293.138881	7.1527	7.275936	7.395437	7.522408	7.661328	8.467962	1.838222	12.021025	0.983987	18	0	0	0	69460727	67093918	66578694	142164	130415	47075	2177570	1.09189434822834	125.008826478132	211.771192281185	79.9826391779468	17736719	0	17979962	94	0.76	4.4	0.0529987481297239	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0105_Bn_P_PE_1_EX
HILL_2136_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	139.408543	139.408543	119.060265	100	85.4039	119060265	100	17397329273	14858901890	12639.000789	2954.633044	1803.69544	5424285242	89.6323	0.103677	0.810523	191.807637	145.47961	130	0.724366	31.0876	34.587578	0.3234	14.5909	0.016672	0.009799	0.169357	66.389	2.171337	0.994281	0.992108	0.97976	0.961484	0.938372	0.908884	0.873022	64.2014	189.67208	6.077039	6.213899	6.35456	6.510428	6.667816	7.70795	2.548133	6.731904	0.990449	20	0	0	0	141132667	136321826	135582115	304428	279646	114521	4391892	1.20779863686281	125.176038787802	217.093555614516	77.3500778222824	40914874	0	39341302	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0085_Pb_R_PE_1_EX
HILL_2136_Tumor	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	55.557428	55.557428	53.874165	100	96.9702	53874165	100	6915420781	6707050971	5000.555631	1105.042335	809.822815	2358350956	88.2896	0.117104	0.819012	75.887704	63.251094	55	0.720323	33.9717	34.426245	0.4195	3.0131	0.018297	0.0166	0.211817	73.4734	2.342633	0.990951	0.986109	0.946614	0.873257	0.775164	0.666004	0.559517	18.175	383.429267	6.741087	6.822617	6.901128	6.985677	7.07989	7.572694	2.293095	8.909955	0.980254	17	0	0	0	56242026	54262385	54027340	152485	66294	31086	1796070	1.07273092681802	124.941409154795	207.259123682751	72.5836892257784	16465449	0	23212189	92.9	0.11	4.4	0.194000578392911	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0085_Bn_P_PE_1_EX
HILL_2233_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	144.859693	144.859693	133.009633	100	91.8196	133009633	100	18059970249	16582788862	13162.483681	3004.702701	1892.783867	6025327210	89.5195	0.104805	0.814148	199.751937	161.599587	130	0.727299	33.2932	34.698509	0.3412	8.1793	0.016598	0.008474	0.194828	70.2341	2.738976	0.993941	0.991429	0.975836	0.951771	0.920987	0.884458	0.843514	62.0743	361.655475	7.640226	7.758794	7.869459	7.995932	8.119244	8.840142	1.965071	12.53029	0.98916	20	0	0	0	145955730	141773855	140982793	88902	78280	87436	4005537	1.13527492873525	124.912146777697	213.351398552153	82.0221038016196	29453424	0	34991957	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0106_Pb_R_PE_1_EX
HILL_2233_TB	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	77.205138	77.205138	73.874725	100	95.6863	73874725	100	9624994311	9209960446	7024.2565	1536.633328	1064.104483	3295494692	88.9444	0.110556	0.820505	106.599094	88.385338	75	0.728049	34.1571	34.744805	0.4651	4.312	0.018534	0.009173	0.214795	71.8887	2.455148	0.991826	0.988422	0.96084	0.912832	0.848908	0.773403	0.693844	35.3245	382.617251	6.9463	7.034476	7.122651	7.210827	7.304041	7.838133	2.191246	11.059893	0.984079	18	0	0	0	78054671	75423547	74852921	138558	127015	49459	2443107	1.08785607005243	124.97517060554	207.675372936242	77.3400514905057	17551534	0	18951933	94.8	0.29	3.4	0.269310662239722	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0106_Bn_P_PE_1_EX
HILL_2427_TB	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	117.761151	117.761151	109.767861	100	93.2123	109767861	100	14463450588	13492748830	10477.577922	2416.310958	1569.561708	4700738533	89.1481	0.108519	0.8126	159.006198	126.07405	107	0.710841	31.8917	34.488871	0.3345	6.7114	0.016702	0.022684	0.19157	71.9973	2.378756	0.994078	0.991764	0.975017	0.947903	0.911904	0.867483	0.816589	53.9399	354.623677	6.917231	7.012251	7.104103	7.211792	7.314413	7.907336	2.051992	10.184583	0.988516	19	0	0	0	118806918	115244291	114554475	67239	55707	101162	3394226	1.08608247857902	125.187674172945	213.572446348941	79.2780407567638	262460198	0	71107036	97.1	9999	9999	9999	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0107_Bn_P_PE_1_EX
HILL_2748_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	117.902566	117.902566	110.918123	100	94.0761	110918123	100	14701605335	13830720358	10555.047871	2403.582198	1742.975266	4936417191	88.1443	0.118557	0.814519	160.18187	132.394964	112	0.716268	33.4986	34.181054	0.4101	5.9237	0.018467	0.008849	0.201065	71.6744	2.451759	0.993579	0.991205	0.974849	0.948521	0.913799	0.871368	0.822555	55.9641	404.48281	6.952598	7.029774	7.113382	7.193773	7.288314	7.766806	2.308731	10.274735	0.988742	19	0	0	0	119134248	115179983	114515225	75296	64783	91448	3787521	1.10587793995629	125.012725336138	212.924343312536	80.2958618271055	24762738	0	29280251	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0108_Pb_R_PE_1_EX
