samples	genome	regions.CG	regions.C	regions.G	regions.relH	regions.GoGe	genome.C	genome.G	genome.CG	genome.relH	genome.GoGe	enrichment.score.relH	enrichment.score.GoGe	numberReadsCG	numberReadsWOCG	count0	count1	count10	count50	count100	maxEstCorReads	maxEstCor	maxTruCorReads	maxTruCor	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE	ACCUMULATION_LEVEL	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT	GC_NC_0_19	GC_NC_20_39	GC_NC_40_59	GC_NC_60_79	GC_NC_80_100	SAMPLE	LIBRARY.1	READ_GROUP	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE.1	LIBRARY.2	READ_GROUP.1	total	unmap	methyl	unmeth	PCT_THALIANA	THALIANA_BETA	runid	project	miso_id	centre	sample_type	tissue_type
PROJECT_FARSCAPE_5739_INPUT	BSgenome.Hsapiens.UCSC.hg19	172161	2797930	2804649	1.391130865	0.271510234	591650798	592024269	28617896	0.914003014	0.255813117	1.522019997	1.06136166	41115	4391	30849271	107514	58	3	0	41115	0.592782451	20557	0.319274158	Unknown Library	680	23133	0	14556	15	5	4	0.000533	267467612	All Reads	100	30751	46946	18.402805	0.002711	0.1691	0.641552	1.258244	2.203099	2.297623	NA	NA	NA	FIRST_OF_PAIR	30751	30751	1	0	23576	0.766674	3431070	20604	3005229	2922262	0	0.007293	0.003708	0.001013	146	23133	0.98121	0	0.505684	0.069906	0.00065	NA	NA	NA	61502	13876	476	470	1.5	0.503	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0011_Cf_U_PE_320_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5918	BSgenome.Hsapiens.UCSC.hg19	262164	2724720	2728495	2.378548103	0.388677257	591650798	592024269	28617896	0.914003014	0.255813117	2.60234164	1.519379699	36618	218	30863807	92978	174	16	5	36618	0.699820486	18309	0.478638788	Unknown Library	644	20307	0	8190	10	6	4	0.000533	103046184	All Reads	100	24724	41258	38.339618	0.239668	0.029856	0.330802	1.388324	4.144802	0.230671	NA	NA	NA	FIRST_OF_PAIR	24724	24724	1	0	20711	0.837688	3017219	17469	2548529	2459711	0	0.00871	0.004205	0.000835	146	20307	0.980493	0	0.499493	0.05578	0	NA	NA	NA	49448	7546	776	8	1.5	0.989	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0003_Cf_U_PE_317_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5930_INPUT	BSgenome.Hsapiens.UCSC.hg19	113819	1788003	1785159	1.437998983	0.282244706	591650798	592024269	28617896	0.914003014	0.255813117	1.573297857	1.103323824	26296	2941	30885795	70990	43	0	0	26296	0.554754359	13148	0.275803201	Unknown Library	1227	14961	0	13971	12	1	1	0.000449	NA	All Reads	100	22560	31149	16.167218	0.002057	0.149393	0.684712	1.192041	2.407977	2.885583	NA	NA	NA	FIRST_OF_PAIR	22560	22560	1	0	15866	0.70328	2307911	13484	1966275	1909262	0	0.008981	0.004347	0.001243	146	14961	0.94296	0	0.507815	0.099356	0.001463	NA	NA	NA	45120	12744	390	324	1.5	0.546	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0006_Cf_U_PE_318_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_87782-2	BSgenome.Hsapiens.UCSC.hg19	329942	3367202	3344751	2.429093702	0.397922022	591650798	592024269	28617896	0.914003014	0.255813117	2.657642988	1.555518444	45126	219	30842994	113791	237	20	6	45126	0.732569367	22563	0.525283892	Unknown Library	661	26154	0	12759	21	8	3	0.000699	68378762	All Reads	100	32864	52969	38.499241	0.224013	0.020672	0.328557	1.372515	4.327945	0.079857	NA	NA	NA	FIRST_OF_PAIR	32864	32864	1	0	26522	0.807023	3857516	21709	3166038	3060221	0	0.009686	0.004767	0.001232	146	26154	0.986125	0	0.501659	0.080182	3.00E-05	NA	NA	NA	65728	12098	934	9	1.4	0.99	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0032_Cf_U_PE_308_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_91815	BSgenome.Hsapiens.UCSC.hg19	312858	3231689	3237882	2.372236332	0.394317452	591650798	592024269	28617896	0.914003014	0.255813117	2.595436005	1.541427808	43815	270	30845318	111467	242	17	3	43815	0.698349311	21907	0.47990128	Unknown Library	751	24819	0	10515	21	4	2	0.000576	153962599	All Reads	100	30452	50389	36.782514	0.223801	0.038029	0.346711	1.380493	4.061008	0.125922	NA	NA	NA	FIRST_OF_PAIR	30452	30452	1	0	25255	0.829338	3676077	20936	3053840	2946202	0	0.009623	0.004565	0.001047	146	24819	0.982736	0	0.495031	0.072743	3.30E-05	NA	NA	NA	60904	9764	886	6	1.4	0.993	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0033_Cf_U_PE_310_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5917	BSgenome.Hsapiens.UCSC.hg19	338207	3375232	3379493	2.503813387	0.400505096	591650798	592024269	28617896	0.914003014	0.255813117	2.739392922	1.565615948	44876	217	30841862	114923	206	19	3	44876	0.704439554	22438	0.482614447	Unknown Library	762	25132	0	8920	17	9	3	0.000686	52613843	All Reads	100	29973	51026	40.764064	0.18531	0.016094	0.293506	1.369106	4.716676	0.186517	NA	NA	NA	FIRST_OF_PAIR	29973	29973	1	0	25620	0.854769	3730777	21524	3139793	3032425	0	0.009021	0.004481	0.000915	146	25132	0.980952	0	0.498517	0.06312	0	NA	NA	NA	59946	8158	860	4	1.4	0.995	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0002_Cf_U_PE_314_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4780	BSgenome.Hsapiens.UCSC.hg19	289824	2905125	2904919	2.473782678	0.402353976	591650798	592024269	28617896	0.914003014	0.255813117	2.706536674	1.572843412	38923	199	30857876	98909	206	14	5	38923	0.720575716	19461	0.504258171	Unknown Library	757	22828	0	12847	18	14	5	0.000991	28930687	All Reads	100	29630	46413	40.188157	0.189099	0.029489	0.306958	1.386956	4.400048	0.273407	NA	NA	NA	FIRST_OF_PAIR	29630	29630	1	0	23254	0.784813	3379800	18836	2746598	2651734	0	0.010661	0.005043	0.001372	146	22828	0.981681	0	0.503053	0.091221	0	NA	NA	NA	59260	12090	793	10	1.3	0.987	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0009_Cf_U_PE_309_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5786_INPUT	BSgenome.Hsapiens.UCSC.hg19	132557	2244202	2256564	1.292979167	0.26835161	591650798	592024269	28617896	0.914003014	0.255813117	1.414633373	1.04901427	34060	4293	30865739	91046	61	4	0	34060	0.585911175	17030	0.315270351	Unknown Library	2065	18813	0	19029	14	4	3	0.000554	176901780	All Reads	100	29360	39691	12.427933	0.003963	0.286252	0.771981	1.153913	1.884158	2.424788	NA	NA	NA	FIRST_OF_PAIR	29360	29360	1	0	20581	0.700988	2993752	17480	2549425	2480504	0	0.008505	0.004009	0.001211	146	18813	0.914096	0	0.499247	0.081449	0.00126	NA	NA	NA	58720	16964	392	408	1.3	0.49	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0012_Cf_U_PE_320_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5911_INPUT	BSgenome.Hsapiens.UCSC.hg19	175149	3280826	3285700	1.153811797	0.246643255	591650798	592024269	28617896	0.914003014	0.255813117	1.262371982	0.964154059	50432	6746	30824015	132770	94	4	0	50432	0.582405122	25216	0.312897943	Unknown Library	626	28695	0	13428	18	11	4	0.000689	58788541	All Reads	100	35722	58016	11.231405	0.019162	0.125035	0.784813	1.187982	1.468693	1.130082	NA	NA	NA	FIRST_OF_PAIR	35722	35722	1	0	29091	0.814372	4232861	25489	3717402	3621274	0	0.007422	0.003903	0.001085	146	28695	0.986388	0	0.498298	0.076021	0.000364	NA	NA	NA	71444	12802	516	422	1.3	0.55	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0001_Cf_U_PE_314_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_91929	BSgenome.Hsapiens.UCSC.hg19	371916	3810591	3797810	2.407265681	0.397045364	591650798	592024269	28617896	0.914003014	0.255813117	2.633761206	1.552091497	51328	238	30827143	129642	292	27	8	51328	0.756571358	25664	0.560665007	Unknown Library	678	29368	0	12796	20	18	4	0.000943	30784657	All Reads	100	36105	59414	38.244013	0.224411	0.01843	0.330196	1.391397	4.126002	0.053398	NA	NA	NA	FIRST_OF_PAIR	36105	36105	1	0	29752	0.824041	4329437	24494	3572441	3452756	0	0.009678	0.00465	0.001077	146	29368	0.987093	0	0.505311	0.073591	2.80E-05	NA	NA	NA	72210	12118	928	2	1.2	0.997	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0034_Cf_U_PE_307_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4934	BSgenome.Hsapiens.UCSC.hg19	4571	49412	49944	2.290504753	0.369637046	591650798	592024269	28617896	0.914003014	0.255813117	2.506014441	1.444949541	663	6	30955084	1701	0	0	0	663	0.572212971	331	0.250265562	Unknown Library	74	1667	0	20002	6	0	0	0.001761	NA	All Reads	100	11705	3408	24.756561	0.538292	0.04016	0.498531	1.512909	1.194712	0.930852	NA	NA	NA	FIRST_OF_PAIR	11705	11705	1	0	1715	0.146519	247239	1355	197340	192209	0	0.011923	0.004845	0.002912	146	1667	0.972012	0	0.507872	0.161791	8.50E-05	NA	NA	NA	23410	19928	2658	62	11.6	0.977	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0010_Cf_U_PE_319_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_91933-2	BSgenome.Hsapiens.UCSC.hg19	359415	3684437	3703509	2.373896158	0.398791726	591650798	592024269	28617896	0.914003014	0.255813117	2.597252002	1.55891821	50300	284	30831042	125743	288	31	8	50300	0.768398004	25150	0.58615167	Unknown Library	751	27835	0	8723	20	21	4	0.001099	22772032	All Reads	100	32572	56421	35.297259	0.227162	0.031537	0.379398	1.369745	3.836867	0.056228	NA	NA	NA	FIRST_OF_PAIR	32572	32572	1	0	28271	0.867954	4118771	23570	3438667	3318265	0	0.008915	0.004253	0.000814	146	27835	0.984578	0	0.498178	0.04697	3.10E-05	NA	NA	NA	65144	7972	725	6	1.1	0.991	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0035_Cf_U_PE_313_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_92489	BSgenome.Hsapiens.UCSC.hg19	255376	2659626	2670510	2.301001435	0.399051082	591650798	592024269	28617896	0.914003014	0.255813117	2.517498738	1.559932057	36872	223	30864043	92742	250	22	6	36872	0.751676432	18436	0.567163951	Unknown Library	571	20922	0	6887	11	6	1	0.000542	43761850	All Reads	100	24651	42415	32.278891	0.270545	0.058083	0.431282	1.358111	3.418779	0.099724	NA	NA	NA	FIRST_OF_PAIR	24651	24651	1	0	21241	0.861669	3091857	17523	2555757	2467506	0	0.00977	0.004725	0.00103	146	20922	0.984982	0	0.502566	0.064205	0	NA	NA	NA	49302	6316	573	17	1.1	0.971	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0040_Cf_U_PE_321_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_99693-1	BSgenome.Hsapiens.UCSC.hg19	255406	2603237	2617235	2.363974249	0.405007459	591650798	592024269	28617896	0.914003014	0.255813117	2.586396557	1.583216154	35894	234	30866666	90119	239	18	5	35894	0.747043895	17947	0.550297662	Unknown Library	482	20095	0	6090	8	7	4	0.000541	67268016	All Reads	100	23381	40672	33.502913	0.227204	0.070671	0.410165	1.350747	3.704686	0.078002	NA	NA	NA	FIRST_OF_PAIR	23381	23381	1	0	20366	0.871049	2965917	17025	2483433	2395442	0	0.009309	0.004679	0.00092	146	20095	0.986694	0	0.49617	0.061015	0	NA	NA	NA	46762	5608	468	2	1	0.995	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0065_Cf_U_PE_320_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_99374-1_INPUT	BSgenome.Hsapiens.UCSC.hg19	105763	2210943	2216397	0.98733307	0.23119516	591650798	592024269	28617896	0.914003014	0.255813117	1.080229556	0.903765855	35588	5912	30864589	92196	59	3	0	35588	0.593590388	17794	0.326875589	Unknown Library	327	19608	0	14463	13	7	4	0.000683	64046267	All Reads	100	27003	39543	3.24171	0.468776	0.34959	0.979959	1.035092	0.960502	0.909241	NA	NA	NA	FIRST_OF_PAIR	27003	27003	1	0	19819	0.733955	2886685	17671	2577999	2514186	0	0.005884	0.003104	0.000806	146	19608	0.989354	0	0.501842	0.050114	0.000667	NA	NA	NA	54006	14136	245	280	0.9	0.466	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0064_Cf_U_PE_322_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4780_INPUT	BSgenome.Hsapiens.UCSC.hg19	137022	2588905	2596178	1.138255673	0.245408839	591650798	592024269	28617896	0.914003014	0.255813117	1.245352209	0.9593286	39993	5314	30851888	104897	56	1	0	39993	0.581521895	19996	0.309797821	Unknown Library	666	23414	0	11796	19	4	3	0.000568	274029660	All Reads	100	29645	47494	11.345182	0.016397	0.175795	0.780933	1.196983	1.406985	1.358214	NA	NA	NA	FIRST_OF_PAIR	29645	29645	1	0	23850	0.80452	3464778	20370	2969993	2889030	0	0.008796	0.004355	0.001448	146	23414	0.981719	0	0.502306	0.096351	0.000439	NA	NA	NA	59290	11130	282	266	0.9	0.514	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0009_Cf_U_PE_312_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5917_INPUT	BSgenome.Hsapiens.UCSC.hg19	167870	3122803	3134904	1.157117808	0.24877101	591650798	592024269	28617896	0.914003014	0.255813117	1.265989051	0.972471674	48198	6752	30830045	126740	78	4	0	48198	0.588517651	24099	0.320387747	Unknown Library	627	26970	0	10619	22	10	8	0.00077	181728373	All Reads	100	32593	54567	9.280742	0.013129	0.145485	0.821766	1.14166	1.540208	1.434116	NA	NA	NA	FIRST_OF_PAIR	32593	32593	1	0	27366	0.839628	3983956	24146	3522041	3427138	0	0.007147	0.003854	0.000966	146	26970	0.985529	0	0.503764	0.070075	0.000491	NA	NA	NA	65186	9992	316	305	0.9	0.508	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0002_Cf_U_PE_315_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5918_INPUT	BSgenome.Hsapiens.UCSC.hg19	144569	2726853	2732621	1.136821418	0.246727171	591650798	592024269	28617896	0.914003014	0.255813117	1.243783008	0.964482094	42249	5954	30846774	110011	89	4	0	42249	0.583837661	21124	0.316233898	Unknown Library	490	23226	0	13612	16	2	1	0.000426	269692570	All Reads	100	30277	46942	9.364054	0.033641	0.221599	0.825335	1.151854	1.396424	1.193965	NA	NA	NA	FIRST_OF_PAIR	30277	30277	1	0	23537	0.777389	3428526	21013	3065658	2982243	0	0.006467	0.003487	0.000809	146	23226	0.986787	0	0.501848	0.052254	0.000793	NA	NA	NA	60554	13122	262	286	0.9	0.478	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0003_Cf_U_PE_318_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_91815_INPUT	BSgenome.Hsapiens.UCSC.hg19	128925	2554381	2550336	1.064234003	0.239747492	591650798	592024269	28617896	0.914003014	0.255813117	1.164365966	0.937197807	40247	6243	30850932	105853	55	5	2	40247	0.611473069	20123	0.342781135	Unknown Library	597	22753	0	9929	15	9	6	0.000716	86230085	All Reads	100	28016	46103	6.33306	0.053812	0.246435	0.898495	1.097558	1.193785	0.688188	NA	NA	NA	FIRST_OF_PAIR	28016	28016	1	0	23115	0.825064	3363057	20278	2957244	2879206	0	0.007538	0.003991	0.001112	146	22753	0.984339	0	0.496734	0.07878	5.00E-04	NA	NA	NA	56032	9332	248	221	0.8	0.528	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0033_Cf_U_PE_313_CM	XYZ	Blood	Medip
