samples	total_reads	pct_uniq_reads	reads_start_point	pf_bases	pct_pf_bases	pct_coding	pct_utr	pct_intronic	pct_intergenic	pct_correct_rs	pct_mrna	pct_usable	med_cv_cov	X5to3_bias	rrna_contam	centre	proj_name	sample_type	tissue_type	rin	dv200	run	miso_id	proj_id
EPT2026	146.994214	99.9	2.518	1161.1561489	85.1	29.009	19.7082	30.9692	20.3135	99.1235	48.7173	41.4873	0.46964	0.535909	1.8	XYZ	WIZARD	Tumour	Fresh	9999	9999	181122_NB551056_0067_AHWG3WBGX7	PROJECT_WIZARD_0071_Bn_P_PE_347_WT	PROJECT_WIZARD
EPT2043	175.126396	99.9	2.648	1383.3260951	85.1	20.5292	18.8039	39.7054	20.9615	98.9985	39.3331	33.4805	0.473499	0.548122	4.1	XYZ	WIZARD	Tumour	Fresh	9999	9999	181122_NB551056_0067_AHWG3WBGX7	PROJECT_WIZARD_0072_Bn_P_PE_328_WT	PROJECT_WIZARD
EPT1932	175.294453	99.9	2.592	1384.2455366	90.3	14.8961	17.6097	39.2332	28.2611	97.9484	32.5058	29.3687	0.520537	0.63075	7.4	XYZ	WIZARD	Tumour	Fresh	9999	9999	181122_NB551051_0080_AHWF3JBGX7	PROJECT_WIZARD_0060_Bn_P_PE_380_WT	PROJECT_WIZARD
EPT1934	156.701169	99.9	3.611	1237.789459	86.8	35.7366	23.9942	19.9814	20.2878	99.3904	59.7308	51.8636	0.461031	0.638984	2.3	XYZ	WIZARD	Tumour	Fresh	9999	9999	181122_NB551051_0080_AHWF3JBGX7	PROJECT_WIZARD_0061_Bn_P_PE_347_WT	PROJECT_WIZARD
EPT1945	156.249628	99.9	2.765	1234.2093765	88.5	32.0761	21.6028	26.5966	19.7245	98.9982	53.6789	47.5433	0.455911	0.616074	2.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181122_NB551051_0080_AHWF3JBGX7	PROJECT_WIZARD_0062_Bn_P_PE_334_WT	PROJECT_WIZARD
EPT1946	171.489719	99.9	2.418	1354.6839894	88.4	27.8773	19.1259	33.517	19.4798	98.8455	47.0033	41.5909	0.4564	0.542403	1.7	XYZ	WIZARD	Tumour	Fresh	9999	9999	181122_NB551051_0080_AHWF3JBGX7	PROJECT_WIZARD_0063_Bn_P_PE_338_WT	PROJECT_WIZARD
EPT2006	142.680764	99.9	3.159	1126.5477104	90	24.4306	25.816	23.9857	25.7676	99.3736	50.2466	45.2649	0.447066	0.471885	9.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181122_NB551051_0080_AHWF3JBGX7	PROJECT_WIZARD_0066_Bn_P_PE_341_WT	PROJECT_WIZARD
EPT1911	145.646459	99.9	4.19	1150.5164526	80.1	39.9065	24.4397	17.117	18.5368	99.4352	64.3462	51.5516	0.478225	0.552856	1.7	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551056_0066_AHMWWYBGX7	PROJECT_WIZARD_0055_Bn_P_PE_331_WT	PROJECT_WIZARD
EPT1926	140.336137	99.8	8.729	1107.3936469	69	20.9476	29.1132	14.4008	35.5384	98.9722	50.0607	34.5712	0.72819	0.612811	19.1	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551056_0066_AHMWWYBGX7	PROJECT_WIZARD_0056_Bn_P_PE_305_WT	PROJECT_WIZARD
EPT1927	143.670406	99.9	3.989	1134.6801284	73	16.442	21.4945	30.4729	31.5907	98.6106	37.9364	27.7196	0.515366	0.56177	6.1	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551056_0066_AHMWWYBGX7	PROJECT_WIZARD_0057_Bn_P_PE_341_WT	PROJECT_WIZARD
EPT1928	152.712849	99.9	3.619	1206.2339202	78.4	31.3334	22.2889	26.6882	19.6895	99.1801	53.6223	42.0533	0.483894	0.516619	4.2	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551056_0066_AHMWWYBGX7	PROJECT_WIZARD_0058_Bn_P_PE_304_WT	PROJECT_WIZARD
EPT1930	158.564972	99.9	3.589	1252.5947384	88.3	38.546	23.306	18.0165	20.1315	99.4238	61.852	54.6677	0.471309	0.525822	1.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551056_0066_AHMWWYBGX7	PROJECT_WIZARD_0059_Bn_P_PE_319_WT	PROJECT_WIZARD
EPT1815	156.006166	99.9	3.824	1232.3352358	86.3	37.0584	22.7158	20.0499	20.1759	99.3508	59.7742	51.6379	0.520331	0.60474	2.3	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551051_0079_AHMM3KBGX7	PROJECT_WIZARD_0044_Bn_P_PE_317_WT	PROJECT_WIZARD
EPT1858	162.832929	99.9	2.328	1286.3268062	85.6	24.573	16.2171	38.2507	20.9592	98.6442	40.7901	34.9564	0.551768	0.595161	0.9	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551051_0079_AHMM3KBGX7	PROJECT_WIZARD_0045_Bn_P_PE_312_WT	PROJECT_WIZARD
EPT1884	145.719687	99.9	3.534	1151.1436573	85.8	37.4586	23.0231	19.2923	20.226	99.3343	60.4817	51.9301	0.513954	0.592407	0.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551051_0079_AHMM3KBGX7	PROJECT_WIZARD_0050_Bn_P_PE_305_WT	PROJECT_WIZARD
EPT1885	136.333344	99.9	3.815	1076.9852118	83.6	35.082	25.6411	19.0553	20.2215	99.3847	60.7231	50.7794	0.528415	0.542681	5.4	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551051_0079_AHMM3KBGX7	PROJECT_WIZARD_0051_Bn_P_PE_302_WT	PROJECT_WIZARD
EPT1897	118.757473	99.9	2.232	938.0711378	83.9	14.057	11.8907	55.9277	18.1246	97.9166	25.9477	21.7718	0.664491	0.428713	2.7	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551051_0079_AHMM3KBGX7	PROJECT_WIZARD_0052_Bn_P_PE_266_WT	PROJECT_WIZARD
EPT1509	134.551031	99.9	4.459	1062.9063532	89.1	40.3875	21.5006	16.0954	22.0166	99.4438	61.888	55.1576	0.563044	0.759939	0.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551051_0078_AHCNJMBGX7	PROJECT_WIZARD_0034_Bn_P_PE_282_WT	PROJECT_WIZARD
EPT1628	144.839826	99.9	4.112	1144.1739218	86.1	36.8593	21.8522	18.165	23.1235	99.4246	58.7115	50.5513	0.539547	0.68209	0.7	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551051_0078_AHCNJMBGX7	PROJECT_WIZARD_0035_Bn_P_PE_312_WT	PROJECT_WIZARD
EPT1631	162.269546	99.9	3.128	1281.8094756	86.6	29.3224	17.4329	32.6811	20.5636	98.9529	46.7553	40.527	0.544635	0.653595	2	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551051_0078_AHCNJMBGX7	PROJECT_WIZARD_0036_Bn_P_PE_308_WT	PROJECT_WIZARD
EPT1733	154.904253	99.9	3.335	1223.656596	86.7	34.4991	21.4713	22.8033	21.2263	99.2788	55.9704	48.5694	0.53533	0.707252	0.7	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551051_0078_AHCNJMBGX7	PROJECT_WIZARD_0037_Bn_P_PE_318_WT	PROJECT_WIZARD
EPT1766	161.496619	99.9	3.36	1275.7253696	87.9	33.2412	20.5336	26.1258	20.0994	99.1987	53.7748	47.3011	0.525323	0.672089	1.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181116_NB551051_0078_AHCNJMBGX7	PROJECT_WIZARD_0038_Bn_P_PE_315_WT	PROJECT_WIZARD
EPT0627	162.79662	99.9	3.87	1286.041	90.2	34.2568	21.472	27.2017	17.0695	99.2182	55.7288	50.2996	0.635083	0.689977	2.2	XYZ	WIZARD	Tumour	Fresh	9999	9999	181115_NB551056_0065_AHF5LJBGX7	PROJECT_WIZARD_0007_Bn_P_PE_305_WT	PROJECT_WIZARD
EPT1776	149.720898	99.9	3.271	1182.6373312	84.9	34.5549	22.9279	25.2238	17.2935	99.2885	57.4828	48.8086	0.529098	0.633896	2.9	XYZ	WIZARD	Tumour	Fresh	9999	9999	181115_NB551056_0065_AHF5LJBGX7	PROJECT_WIZARD_0039_Bn_P_PE_308_WT	PROJECT_WIZARD
EPT1780	166.717194	99.9	2.561	1317.028197	88.8	21.2592	17.9936	34.8067	25.9405	98.9684	39.2527	34.8675	0.533599	0.780177	0.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181115_NB551056_0065_AHF5LJBGX7	PROJECT_WIZARD_0040_Bn_P_PE_454_WT	PROJECT_WIZARD
EPT1783	152.003319	99.9	2.587	1200.7787885	87.9	27.9546	17.6002	33.827	20.6181	98.8774	45.5549	40.0429	0.515195	0.638925	0.6	XYZ	WIZARD	Tumour	Fresh	9999	9999	181115_NB551056_0065_AHF5LJBGX7	PROJECT_WIZARD_0041_Bn_P_PE_308_WT	PROJECT_WIZARD
EPT1806	176.219464	99.9	3.063	1392.061686	86.9	33.8724	20.9233	25.497	19.7073	99.15	54.7957	47.6366	0.519821	0.592447	0.8	XYZ	WIZARD	Tumour	Fresh	9999	9999	181115_NB551056_0065_AHF5LJBGX7	PROJECT_WIZARD_0042_Bn_P_PE_325_WT	PROJECT_WIZARD
EPT0633	143.749442	99.9	3.806	1135.5711378	91.2	36.4308	22.6995	23.1521	17.7176	99.2876	59.1303	53.9566	0.636892	0.547338	1.6	XYZ	WIZARD	Tumour	Fresh	9999	9999	181115_NB551051_0077_AHCNH7BGX7	PROJECT_WIZARD_0008_Bn_P_PE_305_WT	PROJECT_WIZARD
EPT0894	143.795705	99.9	3.756	1135.9125995	84.1	36.6969	20.9292	23.0741	19.2999	99.0726	57.626	48.473	0.532085	0.704564	0.9	XYZ	WIZARD	Tumour	Fresh	9999	9999	181115_NB551051_0077_AHCNH7BGX7	PROJECT_WIZARD_0024_Bn_P_PE_293_WT	PROJECT_WIZARD
EPT0897	154.421613	99.9	3.455	1219.861515	86.2	34.2512	19.3245	24.0513	22.3729	99.0489	53.5758	46.2276	0.532469	0.700696	0.9	XYZ	WIZARD	Tumour	Fresh	9999	9999	181115_NB551051_0077_AHCNH7BGX7	PROJECT_WIZARD_0025_Bn_P_PE_309_WT	PROJECT_WIZARD
EPT0903	146.869595	99.9	4.412	1160.2013786	85.2	41.1176	23.248	14.2867	21.3477	99.361	64.3656	54.8705	0.521938	0.676746	0.8	XYZ	WIZARD	Tumour	Fresh	9999	9999	181115_NB551051_0077_AHCNH7BGX7	PROJECT_WIZARD_0026_Bn_P_PE_299_WT	PROJECT_WIZARD
EPT0911	130.414961	99.9	4.232	1030.0538556	86.1	16.8442	17.3903	26.1947	39.5708	98.7761	34.2345	29.5084	0.540649	0.827993	2.8	XYZ	WIZARD	Tumour	Fresh	9999	9999	181115_NB551051_0077_AHCNH7BGX7	PROJECT_WIZARD_0027_Bn_P_PE_355_WT	PROJECT_WIZARD
EPT1249	147.21437	99.9	3.106	1162.8798104	85.1	30.6327	20.1996	29.6892	19.4784	99.1079	50.8324	43.2733	0.526324	0.757143	1.8	XYZ	WIZARD	Tumour	Fresh	9999	9999	181114_NB551056_0064_AHCN7VBGX7	PROJECT_WIZARD_0029_Bn_P_PE_308_WT	PROJECT_WIZARD
EPT1263	147.927555	99.9	4.537	1168.5242103	84.4	22.0514	20.1018	22.1402	35.7067	99.3489	42.1532	35.6194	0.522768	0.638134	1.1	XYZ	WIZARD	Tumour	Fresh	9999	9999	181114_NB551056_0064_AHCN7VBGX7	PROJECT_WIZARD_0030_Bn_P_PE_329_WT	PROJECT_WIZARD
EPT1265	145.657501	99.9	3.326	1150.6093487	86.5	31.1922	21.298	28.3046	19.2051	99.1985	52.4902	45.444	0.540447	0.524537	1.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181114_NB551056_0064_AHCN7VBGX7	PROJECT_WIZARD_0031_Bn_P_PE_298_WT	PROJECT_WIZARD
EPT1266	146.688666	99.9	3.286	1158.7546516	86.4	32.4883	22.5193	26.3595	18.6328	99.3429	55.0076	47.5607	0.531548	0.612162	1.6	XYZ	WIZARD	Tumour	Fresh	9999	9999	181114_NB551056_0064_AHCN7VBGX7	PROJECT_WIZARD_0032_Bn_P_PE_302_WT	PROJECT_WIZARD
EPT1297	137.506639	99.9	2.885	1086.2508374	87.5	28.9621	18.3478	29.8505	22.8396	99.0622	47.3099	41.4321	0.548895	0.635524	0.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181114_NB551056_0064_AHCN7VBGX7	PROJECT_WIZARD_0033_Bn_P_PE_304_WT	PROJECT_WIZARD
EPT0575	170.425233	99.9	3.453	1346.261357	91.2	26.8837	19.2404	31.9761	21.8997	98.9449	46.1242	42.0754	0.656657	0.603793	2.6	XYZ	WIZARD	Tumour	Fresh	9999	9999	181029_NB551056_0061_AHNWH5BGX5	PROJECT_WIZARD_0005_Bn_P_PE_313_WT	PROJECT_WIZARD
EPT0580	165.850896	99.9	3.255	1310.0078383	91.7	19.1855	17.3978	46.0318	17.385	98.7663	36.5833	33.5689	0.675322	0.755844	6.2	XYZ	WIZARD	Tumour	Fresh	9999	9999	181029_NB551056_0061_AHNWH5BGX5	PROJECT_WIZARD_0006_Bn_P_PE_298_WT	PROJECT_WIZARD
INS-D-013-C2T	135.92802	99.9	4.077	1073.5355425	87.4	38.5469	24.0029	16.7019	20.7483	99.3569	62.5498	54.6849	0.503389	0.793976	5.6	XYZ	QUINOA	Tumour	Fresh	9999	9999	181029_NB551056_0061_AHNWH5BGX5	PROJECT_QUINOA_0096_Sk_M_PE_311_WT	PROJECT_QUINOA
INS-E-036-C2T	132.479846	99.9	5.066	1046.3153183	86.6	49.4707	23.4442	10.5129	16.5722	99.6484	72.9149	63.1613	0.486007	0.736164	5.1	XYZ	QUINOA	Tumour	Fresh	9999	9999	181029_NB551056_0061_AHNWH5BGX5	PROJECT_QUINOA_0102_nn_M_PE_304_WT	PROJECT_QUINOA
INS-E-036-ST	125.678517	99.9	4.18	992.185253	86.8	37.3583	31.1757	13.7746	17.6915	99.4839	68.5339	59.5352	0.499611	0.741864	13.2	XYZ	QUINOA	Tumour	Fresh	9999	9999	181029_NB551056_0061_AHNWH5BGX5	PROJECT_QUINOA_0102_nn_M_PE_319_WT	PROJECT_QUINOA
EPT0714	151.017229	99.9	2.444	1192.8005864	96.7	19.3409	19.0221	43.1978	18.4391	98.4086	38.3631	37.1188	0.480584	0.603469	6.2	XYZ	WIZARD	Tumour	Fresh	9999	9999	181029_NB551051_0069_AHTLGHBGX5	PROJECT_WIZARD_0015_Bn_P_PE_396_WT	PROJECT_WIZARD
EPT0752	138.932185	99.9	3.987	1097.2101914	97.1	36.4427	29.7421	18.1773	15.6379	99.4656	66.1848	64.2877	0.475618	0.545267	7.2	XYZ	WIZARD	Tumour	Fresh	9999	9999	181029_NB551051_0069_AHTLGHBGX5	PROJECT_WIZARD_0016_Bn_P_PE_347_WT	PROJECT_WIZARD
EPT0817	128.669329	99.9	2.463	1016.2847718	90.1	26.7778	21.5262	34.1513	17.5447	99.0363	48.304	43.5624	0.480497	0.567721	4.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181029_NB551051_0069_AHTLGHBGX5	PROJECT_WIZARD_0018_Bn_P_PE_316_WT	PROJECT_WIZARD
EPT0821	120.562232	99.9	2.783	951.987762	88.3	27.2452	27.1026	28.8904	16.7619	99.1836	54.3478	48.0041	0.483406	0.535473	12.2	XYZ	WIZARD	Tumour	Fresh	9999	9999	181029_NB551051_0069_AHTLGHBGX5	PROJECT_WIZARD_0019_Bn_P_PE_308_WT	PROJECT_WIZARD
EPT0830	145.223438	99.9	3.14	1146.886055	87.9	28.1975	26.122	26.2107	19.4698	99.2169	54.3195	47.7542	0.497748	0.524915	9	XYZ	WIZARD	Tumour	Fresh	9999	9999	181029_NB551051_0069_AHTLGHBGX5	PROJECT_WIZARD_0020_Bn_P_PE_319_WT	PROJECT_WIZARD
EPT0637	174.819725	99.9	5.991	1380.8369868	93.8	38.6335	26.5253	15.9959	18.8453	99.4556	65.1588	61.171	0.474105	0.589645	4.1	XYZ	WIZARD	Tumour	Fresh	9999	9999	181026_NB551056_0060_AHTVF2BGX5	PROJECT_WIZARD_0009_Bn_P_PE_353_WT	PROJECT_WIZARD
EPT0647	175.455091	99.9	2.989	1385.9816564	94.7	25.1173	17.7026	42.6038	14.5763	98.9787	42.8199	40.5788	0.483153	0.522039	2	XYZ	WIZARD	Tumour	Fresh	9999	9999	181026_NB551056_0060_AHTVF2BGX5	PROJECT_WIZARD_0010_Bn_P_PE_352_WT	PROJECT_WIZARD
EPT0650	167.734738	99.9	3.063	1324.9633836	94	25.0467	18.7836	38.8819	17.2878	98.8496	43.8304	41.2407	0.494806	0.515643	2.7	XYZ	WIZARD	Tumour	Fresh	9999	9999	181026_NB551056_0060_AHTVF2BGX5	PROJECT_WIZARD_0011_Bn_P_PE_345_WT	PROJECT_WIZARD
EPT0688	199.395213	99.9	9.508	1574.6635263	94.9	23.1323	24.9291	17.6339	34.3047	99.4492	48.0614	45.656	0.513063	0.546412	8.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181026_NB551056_0060_AHTVF2BGX5	PROJECT_WIZARD_0012_Bn_P_PE_338_WT	PROJECT_WIZARD
EPT0689	181.513382	99.9	4.457	1433.6945438	96.6	28.4269	23.1216	29.7059	18.7457	99.3482	51.5485	49.8185	0.506621	0.477671	4.9	XYZ	WIZARD	Tumour	Fresh	9999	9999	181026_NB551056_0060_AHTVF2BGX5	PROJECT_WIZARD_0013_Bn_P_PE_354_WT	PROJECT_WIZARD
CMP-01-04-SUR-T3	137.090656	99.9	6.667	1082.5461482	86.5	36.7967	26.6413	11.4566	25.1054	99.7458	63.438	54.923	0.533671	0.597767	9	XYZ	DEFME	Tumour	Fresh	9999	9999	181025_NB551056_0059_AHTFVHBGX5	PROJECT_DEFME_0003_Lv_M_PE_302_WT	PROJECT_DEFME
CMP-01-04-SUR-T4	134.298523	99.9	7.169	1060.5372538	87.5	37.2042	26.1173	10.2913	26.3873	99.7646	63.3215	55.4081	0.532958	0.627306	8.3	XYZ	DEFME	Tumour	Fresh	9999	9999	181025_NB551056_0059_AHTFVHBGX5	PROJECT_DEFME_0003_Lv_M_PE_297_WT	PROJECT_DEFME
CMP-01-06-SUR-A	130.645295	99.9	5.504	1031.4997926	87.9	47.1789	31.5353	7.1831	14.1027	99.7639	78.7142	69.2621	0.493532	0.624717	12.7	XYZ	DEFME	Tumour	Fresh	9999	9999	181025_NB551056_0059_AHTFVHBGX5	PROJECT_DEFME_0005_Lv_M_PE_322_WT	PROJECT_DEFME
CMP-01-06-SUR-T1	128.871212	99.9	4.438	1017.5868893	85.6	41.1291	29.2754	14.5808	15.0146	99.6602	70.4046	60.3128	0.512115	0.573383	10.5	XYZ	DEFME	Tumour	Fresh	9999	9999	181025_NB551056_0059_AHTFVHBGX5	PROJECT_DEFME_0005_Cc_M_PE_319_WT	PROJECT_DEFME
CMP-01-06-SUR-T2	133.69902	99.9	3.977	1055.9389403	86	39.9873	24.9653	18.3991	16.6483	99.6098	64.9526	55.8814	0.523727	0.530928	6.1	XYZ	DEFME	Tumour	Fresh	9999	9999	181025_NB551056_0059_AHTFVHBGX5	PROJECT_DEFME_0005_Lv_M_PE_317_WT	PROJECT_DEFME
CMP-01-02-SUR-T1	159.47243	99.9	4.761	1258.9161762	88.2	29.6732	32.2115	22.4873	15.628	99.5703	61.8847	54.5897	0.513823	0.563803	18.9	XYZ	DEFME	Tumour	Fresh	9999	9999	181024_NB551056_0058_AHTF37BGX5	PROJECT_DEFME_0001_Lv_M_PE_315_WT	PROJECT_DEFME
CMP-01-02-SUR-T2	161.052685	99.9	6.758	1271.5262668	90.8	48.0364	28.6731	9.6515	13.6391	99.7399	76.7095	69.6713	0.497268	0.560098	14.2	XYZ	DEFME	Tumour	Fresh	9999	9999	181024_NB551056_0058_AHTF37BGX5	PROJECT_DEFME_0001_Lv_M_PE_320_WT	PROJECT_DEFME
CMP-01-03-SUR-T1	151.570691	99.8	5.557	1196.1425708	87.9	32.4714	36.5976	11.9711	18.9599	99.6683	69.069	60.771	0.499374	0.643899	22.5	XYZ	DEFME	Tumour	Fresh	9999	9999	181024_NB551056_0058_AHTF37BGX5	PROJECT_DEFME_0002_Lv_M_PE_310_WT	PROJECT_DEFME
CMP-01-04-SUR-T1	138.796959	99.9	5.812	1096.1085759	86.5	41.8776	28.0481	10.3719	19.7024	99.6967	69.9257	60.5413	0.516991	0.701171	8.7	XYZ	DEFME	Tumour	Fresh	9999	9999	181024_NB551056_0058_AHTF37BGX5	PROJECT_DEFME_0003_Lv_M_PE_307_WT	PROJECT_DEFME
CMP-01-04-SUR-T2	149.162657	99.9	4.094	1177.8547028	88.3	38.0927	27.971	20.0848	13.8515	99.5466	66.0637	58.3896	0.515828	0.633529	10.5	XYZ	DEFME	Tumour	Fresh	9999	9999	181024_NB551056_0058_AHTF37BGX5	PROJECT_DEFME_0003_Lv_M_PE_308_WT	PROJECT_DEFME
EPT0068	186.648383	99.9	3.453	1474.4831602	91.8	24.6033	16.6807	38.1982	20.5179	98.8343	41.2839	37.9078	0.655066	0.65608	1.3	XYZ	WIZARD	Tumour	Fresh	9999	9999	180821_NB551051_0067_AHTC7YBGX5	PROJECT_WIZARD_0001_Bn_P_PE_324_WT	PROJECT_WIZARD
EPT0511	175.006992	99.9	3.929	1382.4659668	89.7	28.3891	20.4581	32.0436	19.1092	98.8857	48.8472	43.8551	0.655791	0.662121	1.9	XYZ	WIZARD	Tumour	Fresh	9999	9999	180821_NB551051_0067_AHTC7YBGX5	PROJECT_WIZARD_0002_Bn_P_PE_315_WT	PROJECT_WIZARD
EPT0518	153.212448	99.9	4.743	1210.3230234	88.3	35.9407	24.2099	19.5829	20.2664	99.3877	60.1507	53.1301	0.656118	0.531563	1.6	XYZ	WIZARD	Tumour	Fresh	9999	9999	180821_NB551051_0067_AHTC7YBGX5	PROJECT_WIZARD_0003_Bn_P_PE_314_WT	PROJECT_WIZARD
EPT0571	173.839645	99.9	3.059	1373.2838995	89.4	24.8682	17.532	38.5772	19.0226	98.8893	42.4002	37.9395	0.655138	0.545055	1.4	XYZ	WIZARD	Tumour	Fresh	9999	9999	180821_NB551051_0067_AHTC7YBGX5	PROJECT_WIZARD_0004_Bn_P_PE_316_WT	PROJECT_WIZARD
PROJECT_SQUID-01-0287-TS	167.720233	99.7	44.586	1321.2371274	89.5	2.253	68.5889	24.5122	4.6458	98.3771	70.8419	63.4435	0.869232	0.514752	29.6	XYZ	PROJECT_SQUIDANE	Tumour	empty	9999	9999	180821_NB551051_0067_AHTC7YBGX5	PROJECT_SQUID_010287_Ce_P_PE_247_WT	PROJECT_SQUID
PROJECT_SQUID-01-0064-TS	167.452696	99.8	11.839	1320.9831187	88.7	7.3216	38.9584	38.0982	15.6218	96.9993	46.28	41.0913	0.692778	0.51598	29.8	XYZ	PROJECT_SQUIDANE	Tumour	FFPE	9999	9999	180801_NB551056_0057_AHTHYJBGX5	PROJECT_SQUID_010064_Lu_M_PE_273_WT	PROJECT_SQUID
