samples	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	BAMQC_TOTALREADS	BAMQC_PAIREDREADS	BAMQC_PROPPAIREDREADS	BAMQC_UNMAPREADS	BAMQC_MATEUNMAPREADS	BAMQC_SECONDARYREADS	BAMQC_QUALFAILREADS	BAMQC_READSPERSTARTPOINT	BAMQC_AVGREADLENGTH	BAMQC_INSERTMEAN	BAMQC_INSERTSD	BAMQC_SOFTCLIPBASES	BAMQC_HARDCLIPBASES	BAMQC_MISMATCHBASES	Gender	Tumor_Fraction	Ploidy	Subclone_Fraction	Fraction_Genome_Subclonal	Fraction_CNA_Subclonal	ChrY_coverage_fraction	ChrX_median_log_ratio	centre	proj_name	sample_type	tissue_type	run	proj_id	miso_id
Chro8-014-T	33513	2314634	77777	47827	26159	26854	214	0.017129	99762696	2897310462	0.073094	0.504961	0	0	0.137611	0.009724	0.001169	0.037158	0.165294	0.007059	0.358015	0.068108	5.8e-05	3.7e-05	2.7e-05	2.1e-05	1.8e-05	1.6e-05	1.2e-05	8e-06	6e-06	5e-06	4e-06	4e-06	3e-06	0.005799	0	112	32	2	234543920	120.408118	51.45822	2134786	FR	13	25	37	51	65	79	97	119	163	375	4788385	3870642	3664121	47827	5622	77777	792139	1.06937284624058	74.9849637346983	124.926130099228	70.2855810281125	12910898	0	1404403	female	0.4788	2.22	0.7975	0.2259	0.2425	0.0002238	-0.1027	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0012_Fa_P_PE_330_WG
Chro8-015-T	34937	2446387	48513	50685	27609	36278	234	0.020327	82187598	2897310462	0.078324	0.574184	0	0	0.12071	0.012333	0.001142	0.035069	0.182904	0.008523	0.360681	0.072424	5.7e-05	3.4e-05	2.6e-05	2.1e-05	1.8e-05	1.6e-05	1.4e-05	1.3e-05	1.2e-05	1e-05	9e-06	8e-06	6e-06	0.006846	0	110	26	2	239517341	117.147062	43.315409	2297274	FR	11	21	31	41	53	67	81	101	137	307	5026909	4188929	4053950	50685	6122	48513	738782	1.06062423708561	74.9866612683099	119.517578125	49.5789861018206	9978969	0	1360359	female	0.7465	2.729	0.3616	0.1623	0.2196	0.0001925	-1.068	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0013_Ov_P_PE_294_WG
Chro8-016-T	35575	2376239	56952	46613	26242	24373	269	0.015661	116308253	2897310462	0.08568	0.502316	0	0	0.117714	0.009258	0.001487	0.037067	0.115444	0.004552	0.285521	0.079351	5.7e-05	3.8e-05	2.9e-05	2.4e-05	2e-05	1.6e-05	1e-05	7e-06	6e-06	5e-06	4e-06	4e-06	3e-06	0.004911	0	136	39	2	230800885	148.068431	64.179319	2196651	FR	15	31	47	61	79	97	117	145	205	461	4891618	4094446	3878484	46613	7256	56952	693607	1.03413799922867	74.9934789712699	149.618705035971	63.11696950288	7828821	0	1303302	female	0.6993	1.73	0.3309	0.03701	0.07856	0.0002153	0.1326	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0014_Ce_P_PE_337_WG
Chro8-017-T	65742	1917749	73851	84432	58444	22015	210	0.026267	83674112	2897310462	0.066802	0.490121	0	0	0.129733	0.009981	0.001373	0.033401	0.131564	0.005079	0.311132	0.062271	5.3e-05	3e-05	2.3e-05	1.8e-05	1.6e-05	1.4e-05	1.1e-05	8e-06	6e-06	5e-06	5e-06	4e-06	4e-06	0.004136	0	125	32	2	237734232	133.41517	52.107815	1731709	FR	13	25	37	51	65	79	97	121	165	383	4059523	3276131	3045257	84432	5845	73851	625109	1.03837163418186	74.9803350354427	139.142268041237	71.266575454322	6971965	0	1219218	female	0.5821	2.42	0.9404	0.2429	0.3834	0.0001869	-0.253	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0015_Om_P_PE_316_WG
Chro8-019-T	108630	2078370	91438	138132	101144	27910	250	0.0368	77371232	2897310462	0.068275	0.496665	0	0	0.149316	0.010973	0.00124	0.033953	0.149908	0.005335	0.350725	0.063927	6.2e-05	3.9e-05	2.8e-05	2.1e-05	1.6e-05	1.3e-05	1e-05	7e-06	6e-06	5e-06	5e-06	4e-06	4e-06	0.00485	0	116	30	2	238230820	124.461385	49.20944	1872183	FR	13	23	35	47	61	75	91	115	157	369	4494940	3489589	3248743	138132	5969	91438	775781	1.05031481561191	74.9977862722515	128.507273877293	74.1543732557994	8720712	0	1076075	female	0.3679	1.843	0.4734	0.3497	0.4595	0.0002643	-0.3737	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0016_Fa_P_PE_301_WG
Chro8-020-T	83674	1956015	80827	106156	75111	24449	233	0.031036	78325146	2897310462	0.071437	0.506789	0	0	0.121065	0.010874	0.00162	0.031681	0.109543	0.007936	0.282718	0.06687	5.5e-05	3.3e-05	2.4e-05	1.8e-05	1.4e-05	1.1e-05	8e-06	7e-06	6e-06	5e-06	5e-06	5e-06	4e-06	0.003661	0	138	39	2	240595982	149.275375	64.174948	1760842	FR	17	31	47	63	79	97	119	147	205	459	4182687	3397570	3142720	106156	7190	80827	598134	1.03345843072019	74.9961148703338	150.062340966921	62.381306585497	6778772	0	982982	female	0.3787	1.988	0.7483	0.3539	0.5261	0.000224	-0.3692	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0017_Gt_P_PE_328_WG
Chro8-021-T	59700	2151596	105547	76252	51079	29375	174	0.025173	78535644	2897310462	0.063126	0.47468	0	0	0.159582	0.0113	0.001438	0.046855	0.179863	0.005858	0.404896	0.058937	5.6e-05	3.2e-05	2.2e-05	1.6e-05	1.3e-05	1.1e-05	8e-06	6e-06	5e-06	4e-06	4e-06	3e-06	3e-06	0.005783	0	103	25	2	241677774	109.976653	41.852905	1941831	FR	11	21	31	41	51	63	79	99	135	323	4544691	3510856	3273514	76252	6629	105547	852036	1.074828436655	74.9925445532372	114.413213213213	59.0848207378783	12709697	0	1235234	female	0.7907	1.812	0.7146	0.06322	0.1608	0.0002852	-0.6439	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0018_Co_P_PE_284_WG
Chro8-022-T	126584	2156697	109352	159336	117923	26989	221	0.038717	86144380	2897310462	0.072077	0.492216	0	0	0.145312	0.010592	0.001409	0.032182	0.146469	0.004629	0.340593	0.067506	5.9e-05	3.8e-05	2.7e-05	2e-05	1.5e-05	1.2e-05	9e-06	7e-06	6e-06	5e-06	4e-06	4e-06	3e-06	0.004982	0	117	30	2	238852836	125.950691	50.323368	1933600	FR	13	25	35	49	61	77	93	117	161	375	4708666	3657964	3374788	159336	7139	109352	782014	1.04866959807851	74.9936440052444	129.532066508314	60.2205234288763	10585575	0	1232231	female	0.6472	2.042	0.1524	0.1981	0.4349	0.0002578	-0.1387	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0019_Ov_P_PE_300_WG
Chro8-024-T	189373	1295551	55159	246969	180156	15707	189	0.076091	53632389	2897310462	0.047565	0.353635	0	0	0.147563	0.010677	0.002536	0.028317	0.11962	0.001598	0.310312	0.04533	3.9e-05	2.3e-05	1.7e-05	1.3e-05	1e-05	8e-06	5e-06	4e-06	3e-06	2e-06	2e-06	2e-06	2e-06	0.002532	0	131	36	2	240643912	141.67333	60.131773	1175677	FR	15	29	43	57	73	91	111	137	191	423	3082603	2299708	2137266	246969	8283	55159	480767	1.0385270365288	74.9865961243775	142.47866419295	62.5058736332906	5227222	0	642642	female	0.3788	1.995	0.4717	0.4379	0.6157	0.00028	-0.2502	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0020_Ov_P_PE_324_WG
Chro8-025-T	41086	1802321	62070	55392	35053	22313	199	0.021855	72827641	2897310462	0.058959	0.509267	0	0	0.144836	0.010355	0.001201	0.031169	0.151484	0.005576	0.344621	0.054969	6e-05	3.5e-05	2.7e-05	2.2e-05	1.9e-05	1.7e-05	1.4e-05	1.2e-05	1e-05	8e-06	6e-06	5e-06	4e-06	0.004108	0	117	31	2	237662899	125.865061	50.84207	1636356	FR	13	25	37	49	63	77	95	117	163	377	3763190	2989224	2819555	55392	4678	62070	656504	1.0502449744659	74.9940285505536	130.918156808803	71.9914180879102	7183176	0	985985	female	0.4083	1.99	0.5672	0.3493	0.5267	0.0003377	0.03179	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0021_Di_P_PE_307_WG
Chro8-026-T	185847	2157882	149629	234343	177032	28538	194	0.052005	81406222	2897310462	0.063633	0.472083	0	0	0.183278	0.011072	0.00133	0.04132	0.172868	0.004583	0.41445	0.059241	5.9e-05	3.8e-05	2.8e-05	2.2e-05	1.8e-05	1.4e-05	1e-05	8e-06	6e-06	5e-06	4e-06	4e-06	3e-06	0.005685	0	103	26	2	238897737	109.500387	41.837833	1911451	FR	11	21	31	41	53	65	79	99	135	327	4885583	3523642	3222168	234343	6862	149629	977969	1.07427653487955	74.9974032549277	116.749367088608	72.8883260146621	13949936	0	1334333	female	0.6448	2.657	0.7636	0.1577	0.2514	0.0003311	-0.04057	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0022_Ov_P_PE_278_WG
Chro8-027-T	79318	2170043	52054	114540	71026	26819	256	0.028208	87894301	2897310462	0.078437	0.468988	0	0	0.098324	0.011315	0.001452	0.028618	0.146044	0.005853	0.291606	0.073175	5.1e-05	2.8e-05	2e-05	1.7e-05	1.5e-05	1.3e-05	9e-06	7e-06	5e-06	4e-06	4e-06	3e-06	3e-06	0.005255	0	125	33	2	232561735	135.359498	55.489475	2047413	FR	13	27	39	53	67	83	101	127	177	391	4585998	3885783	3744128	114540	7102	52054	533621	1.04311338763237	74.982590381398	136.400215169446	61.4272432035837	6827821	0	1043042	female	0.6901	2.127	0.5901	0.4167	0.6046	0.0001801	-0.3968	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0023_Pm_P_PE_303_WG
Chro8-029-T	65417	2212031	39268	82483	58067	23526	330	0.023415	104702523	2897310462	0.084114	0.465971	0	0	0.095514	0.009383	0.001242	0.030198	0.117008	0.002437	0.25578	0.07882	5.8e-05	3.6e-05	2.5e-05	1.7e-05	1.2e-05	1e-05	7e-06	6e-06	5e-06	5e-06	4e-06	3e-06	3e-06	0.004521	0	140	41	2	243580932	152.942508	67.062868	2099570	FR	17	33	49	65	83	103	125	153	215	453	4611230	3959238	3829547	82483	6071	39268	530241	1.03337585955068	74.9946391199519	154.190799790904	64.6730300393255	5609604	0	974974	female	0.6412	1.822	0.1378	0.1476	0.2939	0.0002532	-0.1705	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0025_Ln_P_PE_329_WG
Chro8-033-T	40776	2031294	64719	51564	33640	23166	214	0.019489	89189370	2897310462	0.070058	0.474485	0	0	0.127834	0.009644	0.00132	0.033593	0.135424	0.003705	0.311521	0.065766	6.1e-05	3.8e-05	2.7e-05	1.9e-05	1.5e-05	1.2e-05	9e-06	7e-06	5e-06	5e-06	4e-06	4e-06	3e-06	0.004356	0	125	35	2	238983087	135.596029	57.82122	1860286	FR	15	27	41	55	71	87	107	133	187	431	4219647	3451486	3248751	51564	5768	64719	651878	1.04378313530646	74.9991742687063	139.460355029586	72.59702279169	7827820	0	1097096	female	0.1292	2.452	0.471	0.207	0.2692	0.0002538	-0.1152	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0026_Ov_P_PE_314_WG
Chro8-035-T	79444	2678860	160451	102066	69614	42212	224	0.028331	84546928	2897310462	0.072839	0.628589	0	0	0.235742	0.011318	0.001177	0.072931	0.116048	0.008477	0.445694	0.064957	8.5e-05	5e-05	3.7e-05	3e-05	2.5e-05	2.2e-05	1.7e-05	1.4e-05	1.2e-05	1.1e-05	9e-06	8e-06	7e-06	0.005531	0	113	31	2	235752473	122.250128	51.362578	2217986	FR	13	25	37	49	63	77	95	119	169	461	5699681	3881146	3364107	102066	6978	160451	1556018	1.05241943028303	74.9948017930786	127.254635352287	57.9870040544062	14940926	0	1779778	female	0.4229	2.006	0.4988	0.3905	0.5047	0.000388	-0.3274	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0027_Ov_P_PE_295_WG
Chro8-036-T	89231	2144171	124392	112417	79613	23951	201	0.029129	96054697	2897310462	0.067619	0.506735	0	0	0.189007	0.009088	0.001575	0.046982	0.114621	0.005676	0.366949	0.062366	6.8e-05	4.1e-05	3.1e-05	2.4e-05	2e-05	1.6e-05	1.1e-05	9e-06	7e-06	6e-06	5e-06	4e-06	4e-06	0.004177	0	122	34	2	239457422	131.811444	55.659659	1799475	FR	13	27	41	55	69	85	103	129	181	447	4614382	3374003	2939276	112417	7363	124392	1003570	1.04260107492289	74.9859291767079	137.244154057772	71.605264061665	11474463	0	1232231	female	0.6665	1.917	0.2784	0.1037	0.2398	0.0003884	0.01905	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0028_nn_P_PE_325_WG
Chro8-037-T	53104	2207936	22569	70052	46261	21606	247	0.020021	113357454	2897310462	0.088809	0.477344	0	0	0.073101	0.009156	0.001173	0.030231	0.102038	0.001694	0.217394	0.082831	4.9e-05	2.9e-05	2e-05	1.6e-05	1.5e-05	1.3e-05	1.1e-05	1e-05	9e-06	7e-06	5e-06	3e-06	2e-06	0.005526	0	151	44	2	223476073	165.080978	72.182407	2136178	FR	19	35	53	71	89	109	133	165	231	481	4561597	4059828	3983405	70052	5598	22569	409148	1.02553851275924	74.9857198383774	165.348860759494	68.212299402977	3839836	0	979979	female	0.6767	2.136	0.7375	0.431	0.6659	0.0001584	-0.7416	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0029_Ov_P_PE_363_WG
Chro8-039-T	23385	2444148	101248	35111	15823	33349	256	0.016801	89423267	2897310462	0.074337	0.540588	0	0	0.14465	0.011185	0.00115	0.04102	0.178929	0.005737	0.382671	0.068867	6.2e-05	4.1e-05	3.1e-05	2.5e-05	2.2e-05	1.9e-05	1.5e-05	1.1e-05	9e-06	7e-06	6e-06	5e-06	4e-06	0.006561	0	106	25	2	234681889	112.887328	41.794849	2229687	FR	11	21	29	41	51	63	79	99	135	317	5048040	4028438	3790524	35111	5963	101248	883243	1.06341073373986	74.992292297908	118.113884555382	57.4642535533552	12481469	0	1491490	female	0.7365	1.877	0.5	0.3254	0.5305	0.0002582	-0.2281	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0030_Ov_P_PE_301_WG
